,post_id,topic
0,1bfpxll,education
1,1bh8md2,education
2,1bfg926,education
3,1bh3jpg,recruiting
4,1bgejk2,education
5,1b91w6h,recruiting
6,1bdsw03,recruiting
7,1bfjvot,education
8,1bcdone,recruiting
9,1bb3lbe,recruiting
10,1bc4ppa,education
11,1bbkjk8,education
12,1bfinbs,education
13,1bewifj,recruiting
14,1banvmw,education
15,1bcp970,education
16,1b80e7g,recruiting
17,1bguek8,recruiting
18,1b4no25,recruiting
19,1bgeul2,education
20,1b4j8dj,recruiting
21,1b3vss1,education
22,1b4od5e,education
23,1bhaccj,education
24,1b4u40m,education
25,1b4oqei,education
26,1b4ofvk,recruiting
27,1b4987w,recruiting
28,1b4slbk,recruiting
29,1b4rmkt,recruiting
30,1b4r0dw,recruiting
31,1b4r027,education
32,1b4vtot,job_search
33,1b4poks,opportunities
34,1b4nrzu,education
35,14erg6q,education
36,1bh5yuk,recruiting
37,1bgz6ae,recruiting
38,1bh6whd,recruiting
39,1bgz1bn,recruiting
40,1bgojy7,recruiting
41,1bgywtx,recruiting
42,1bham1h,education
43,1bhafdx,education
44,1bh8xqa,education
45,1bh89fu,education
46,1bh853x,recruiting
47,1bh7x4i,opportunities
48,1bh7twk,recruiting
49,1bgxs5s,recruiting
50,1bh2u2x,recruiting
51,1bh7rno,education
52,1bh1v1t,recruiting
53,1bgyf0d,recruiting
54,1bh6mq1,education
55,1bh60gn,recruiting
56,1bgo8cb,recruiting
57,1bh5ikf,recruiting
58,1bh5fed,recruiting
59,1bh527w,recruiting
60,1bh4nko,recruiting
61,1bh4kaf,education
62,1bh3u7p,recruiting
63,1b85wdc,education
64,1bh2248,education
65,1bh1li1,recruiting
66,1bgkcda,recruiting
67,1bguase,recruiting
68,1bh13y7,recruiting
69,1bh0vf4,education
70,1bgzkfa,recruiting
71,1bgyrnl,education
72,1bgygp6,recruiting
73,1bf5vcv,recruiting
74,1bgy50l,education
75,1bgy1j5,education
76,1bgxfvc,recruiting
77,1bgx75s,recruiting
78,1bgwtpg,recruiting
79,1bgw6jk,recruiting
80,1bgvq8s,education
81,1bgoekh,recruiting
82,1bgui2s,recruiting
83,1bduylp,recruiting
84,1bgttj0,recruiting
85,1bg7bcz,recruiting
86,1bgt1f4,education
87,1bgs5dm,education
88,1bgrddz,education
89,1bgr8nd,education
90,1bgqzmq,opportunities
91,1bgqf3i,education
92,1bgq3yk,opportunities
93,1bgpvbs,education
94,1bgpqep,recruiting
95,1bgpk78,recruiting
96,1bgoypz,recruiting
97,1bewe5o,recruiting
98,1bgjnu3,recruiting
99,1bgmbt2,education
100,1bgm980,recruiting
101,1bgm56g,recruiting
102,1bglybu,recruiting
